N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
283      0        2200       2097       0        0         0         0.000683
284      0        2200       2092       0        0         0         0.000691
285      0        2200       2097       0        0         0         0.000683
286      0        2200       2092       0        0         0         0.000661
287      0        2200       2092       0        0         0         0.000683
288      0        2200       2091       0        0         0         0.000923
289      0        2200       2092       0        0         0         0.000631
290      0        2200       2092       0        0         0         0.000631
291      0        2200       2097       0        0         0         0.000616
292      0        2200       2097       0        0         0         0.000631
293      0        2200       2097       0        0         0         0.000608
294      0        2200       2097       0        0         0         0.000608
295      0        2200       2097       0        0         0         0.000600
296      0        2200       2097       0        0         0         0.000600
297      0        2200       2092       0        0         0         0.000593
298      0        2200       2097       0        0         0         0.000593
299      0        2200       2097       0        0         0         0.000593
300      0        2200       2097       0        0         0         0.000593
301      0        2200       2097       0        0         0         0.000593
302      0        2200       2097       0        0         0         0.000600
303      0        2200       2097       0        0         0         0.000600
304      0        2200       2097       0        0         0         0.000600
305      0        2200       2097       0        0         0         0.000593
306      0        2200       2097       0        0         0         0.000578
307      0        2200       2097       0        0         0         0.000600
308      0        2200       2097       0        0         0         0.000593
309      0        2200       2097       0        0         0         0.000616
310      0        2200       2097       0        0         0         0.000608
311      0        2200       2097       0        0         0         0.000616
312      0        2200       2092       0        0         0         0.000616
313      0        2200       2092       0        0         0         0.000616
314      0        2200       2097       0        0         0         0.000616
315      0        2200       2097       0        0         0         0.000616
316      0        2200       2097       0        0         0         0.000631
317      0        2200       2097       0        0         0         0.000623
318      0        2200       2092       0        0         0         0.000631
319      0        2200       2097       0        0         0         0.000608
320      0        2200       2092       0        0         0         0.000608
321      0        2200       2097       0        0         0         0.000600
322      0        2200       2092       0        0         0         0.000623
323      0        2200       2097       0        0         0         0.000623
324      0        2200       2097       0        0         0         0.000623
325      0        2200       2097       0        0         0         0.000600
326      0        2200       2092       0        0         0         0.000608
327      0        2200       2092       0        0         0         0.000608
328      0        2200       2092       0        0         0         0.000616
329      0        2200       2092       0        0         0         0.000623
330      0        2200       2092       0        0         0         0.000623
331      0        2200       2097       0        0         0         0.000608
332      0        2200       2097       0        0         0         0.000608
333      0        2200       2092       0        0         0         0.000608
334      0        2200       2092       0        0         0         0.000631
335      0        2200       2092       0        0         0         0.000623
336      0        2200       2092       0        0         0         0.000631
337      0        2200       2097       0        0         0         0.000623
338      0        2200       2097       0        0         0         0.000623
339      0        2200       2097       0        0         0         0.000616
340      0        2200       2097       0        0         0         0.000623
341      0        2200       2092       0        0         0         0.000623
342      0        2200       2097       0        0         0         0.000623
343      0        2200       2097       0        0         0         0.000623
344      0        2200       2092       0        0         0         0.000600
345      0        2200       2092       0        0         0         0.000631
346      0        2200       2097       0        0         0         0.000608
347      0        2200       2092       0        0         0         0.000608
348      0        2200       2092       0        0         0         0.000600
349      0        2200       2097       0        0         0         0.000608
350      0        2200       2092       0        0         0         0.000623
351      0        2200       2092       0        0         0         0.000616
352      0        2200       2097       0        0         0         0.000616
353      0        2200       2097       0        0         0         0.000623
354      0        2200       2092       0        0         0         0.000637
355      0        2200       2097       0        0         0         0.000631
356      0        2200       2097       0        0         0         0.000631
357      0        2200       2092       0        0         0         0.000631
358      0        2200       2097       0        0         0         0.000652
359      0        2200       2092       0        0         0         0.000661
360      0        2200       2097       0        0         0         0.000644
361      0        2200       2097       0        0         0         0.000652
362      0        2200       2097       0        0         0         0.000644
363      0        2200       2097       0        0         0         0.000637
364      0        2200       2092       0        0         0         0.000631
365      0        2200       2097       0        0         0         0.000637
366      0        2200       2092       0        0         0         0.000644
367      0        2200       2092       0        0         0         0.000652
368      0        2200       2092       0        0         0         0.000637
369      0        2200       2097       0        0         0         0.000644
370      0        2200       2092       0        0         0         0.000644
371      0        2200       2097       0        0         0         0.000668
372      0        2200       2097       0        0         0         0.000668
373      0        2200       2097       0        0         0         0.000676
374      0        2200       2097       0        0         0         0.000668
375      0        2200       2097       0        0         0         0.000668
376      0        2200       2097       0        0         0         0.000691
377      0        2200       2092       0        0         0         0.000683
378      0        2200       2092       0        0         0         0.000691
379      0        2200       2092       0        0         0         0.000691
380      0        2200       2097       0        0         0         0.000698
381      0        2200       2097       0        0         0         0.000720
382      0        2200       2092       0        0         0         0.000720
383      0        2200       2092       0        0         0         0.000712
384      0        2200       2097       0        0         0         0.000727
385      0        2200       2092       0        0         0         0.000720
386      0        2200       2097       0        0         0         0.000736
387      0        2200       2097       0        0         0         0.000720
388      0        2200       2097       0        0         0         0.000736
389      0        2200       2096       0        0         0         0.000772
390      0        2200       2092       0        0         0         0.000727
391      0        2200       2097       0        0         0         0.000727
392      0        2200       2092       0        0         0         0.000720
393      0        2200       2092       0        0         0         0.000720
394      0        2200       2096       0        0         0         0.000758
395      0        2200       2097       0        0         0         0.000720
396      0        2200       2097       0        0         0         0.000743
397      0        2200       2092       0        0         0         0.000751
398      0        2200       2096       0        0         0         0.000758
399      0        2200       2096       0        0         0         0.000772
400      0        2200       2092       0        0         0         0.000751
401      0        2200       2091       0        0         0         0.000772
